,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food,age
7860,102053.0,7.822616444831925e-82,0.14492753623188406,0.057971014492753624,0.7971014492753623,4.0
7861,102054.0,1.4588122559281157e-81,0.05405405405405406,1.4588122559281157e-81,0.945945945945946,68.0
7862,102055.0,1.2851441302223877e-81,1.2851441302223877e-81,1.2851441302223877e-81,1.0,69.0
7863,102056.0,0.21201413427561838,3.814562082638889e-82,0.01060070671378092,0.7773851590106007,12.0
7864,102057.0,0.1724137931034483,3.7224864461613985e-81,3.7224864461613985e-81,0.8275862068965517,70.0
7865,102058.0,1.1733924667247887e-81,0.10869565217391304,0.021739130434782608,0.8695652173913043,68.0
7866,102060.0,8.407484964071694e-82,0.3333333333333333,8.407484964071694e-82,0.6666666666666666,80.0
7867,102061.0,0.12195121951219512,0.0975609756097561,0.04878048780487805,0.7317073170731707,14.0
7868,102062.0,5.1454769751515994e-82,0.08102955195424213,5.1454769751515994e-82,0.9189704480457579,18.0
7869,102063.0,0.04,0.4,0.08,0.48,9.0
7870,102064.0,7.496674092963928e-82,0.06944444444444445,0.027777777777777776,0.9027777777777778,35.0
7871,102065.0,8.921661730469467e-82,0.14049586776859505,0.03305785123966942,0.8264462809917354,3.0
7872,102066.0,8.407484964071694e-82,0.3333333333333333,0.19937694704049844,0.46728971962616817,6.0
7873,102067.0,0.1346153846153846,1.0380010282565439e-81,1.0380010282565439e-81,0.8653846153846154,55.0
7874,102068.0,9.813827903516414e-82,0.36363636363636365,9.813827903516414e-82,0.6363636363636364,65.0
7875,102069.0,2.0760020565130878e-81,0.038461538461538464,0.07692307692307693,0.8846153846153847,10.0
7876,102070.0,0.21052631578947367,0.15789473684210525,5.681689838877924e-82,0.631578947368421,80.0
7877,102071.0,0.2,0.13333333333333333,3.598403564622685e-82,0.6666666666666666,17.0
7878,102072.0,7.914377341545495e-82,0.05865102639296188,7.914377341545495e-82,0.9413489736070382,50.0
7879,102073.0,6.024113110417442e-82,0.044642857142857144,6.024113110417442e-82,0.9553571428571428,43.0
7880,102074.0,8.304008226052351e-82,8.304008226052351e-82,8.304008226052351e-82,1.0,35.0
7881,102075.0,1.4588122559281157e-81,0.13513513513513514,1.4588122559281157e-81,0.8648648648648649,5.397605346934028e-79
7882,102077.0,1.7300017137609063e-81,1.7300017137609063e-81,0.1282051282051282,0.8717948717948718,17.0
7883,102078.0,1.6867516709168838e-81,0.125,0.125,0.75,61.0
7884,102079.0,1.6867516709168838e-81,0.125,0.125,0.75,60.0
7885,102080.0,5.397605346934028e-82,0.2,0.1,0.7,11.0
7886,102081.0,1.9627655807032829e-81,1.9627655807032829e-81,1.9627655807032829e-81,1.0,49.0
